CD_MOEDA_PAR;CD_MOEDA_REP;CD_TAB_PRC_ITEM;FL_ATIVO;ID_ESPECIALIDADE;ID_GRUPO_CARENCIA;ID_GRUPO_PRC;ID_MOEDA_PAC;ID_MOEDA_REP;ID_PRESTADOR;ID_TAB_GEN_ITEM;ID_TAB_PRC;ID_TAB_PRC_ITEM;ID_TIPO_CAL_PRC;NM_MOEDA_PAR;NM_MOEDA_REP;TX_ATIVO;TX_ESPECIALIDADE;TX_FORMA_CALCULO;TX_GRUPO_CARENCIA;TX_GRUPO_CLINICO;TX_GRUPO_PRC;TX_GRUPO_SIP;TX_ID_TAB_PRC_ITEM;CD_TAB_GEN_ITEM;TX_NOME_GEN;TX_NOME_PRC;TX_NOME;TX_NOME_TAB_PRC;TX_VL_PAC;TX_VL_REP;TX_SITUACAO;TX_TIME_STAMP_INS;TX_TIME_STAMP_UPD;ID_TIPO_MARCACAO;TX_TIPO_MARCACAO;VL_PAC;VL_QTD_PONTOS;VL_REP;VL_TEMPO;TX_VL_TEMPO;ID_SIMBOLO_ODONTO;FL_FAVORITO;TX_FAVORITO;ID_CONTA_REGISTRO;CD_TIPO_TABELA;TX_PESQUISA
R$;R$;81.000.219;VERDADEIRO;1;;1;255;255;29965;369;84483;22114012;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114012;81000219;Diagnóstico e tratamento de halitose;Diagnóstico e tratamento de halitose;Diagnóstico e tratamento de halitose;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);0;;0;;;10;FALSO;;13921;00;81.000.219Diagnóstico e tratamento de halitoseDentística
R$;R$;81.000.235;VERDADEIRO;1;;1;255;255;29965;370;84483;22114013;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114013;81000235;Diagnóstico e tratamento de xerostomia;Diagnóstico e tratamento de xerostomia;Diagnóstico e tratamento de xerostomia;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);0;;0;;;10;FALSO;;13921;00;81.000.235Diagnóstico e tratamento de xerostomiaDentística
R$;R$;82000026;VERDADEIRO;1;;1;255;255;29965;390;55819;14367037;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14367037;82000026;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;45;FALSO;;13921;00;82000026  Acompanhamento de tratamento/procedimento cirúrgico em odontologiaDentística
R$;R$;82000026;VERDADEIRO;1;;1;255;255;29965;390;44869;11661954;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11661954;82000026;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;45;FALSO;;13921;;82000026  Acompanhamento de tratamento/procedimento cirúrgico em odontologiaDentística
R$;R$;82000026;VERDADEIRO;1;;1;255;255;29965;390;56188;14494945;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494945;82000026;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;5;Geral (ex: Profilaxia);;;;;;45;FALSO;;13921;00;82000026  Acompanhamento de tratamento/procedimento cirúrgico em odontologiaDentística
R$;R$;82001685;VERDADEIRO;1;;1;255;255;29965;493;44869;11662057;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662057;82001685;Tunelização;Tunelização;Tunelização;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;50;FALSO;;13921;;82001685  TunelizaçãoDentística
R$;R$;82001685;VERDADEIRO;1;;1;255;255;29965;493;55819;14366943;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366943;82001685;Tunelização;Tunelização;Tunelização;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;50;FALSO;;13921;00;82001685  TunelizaçãoDentística
R$;R$;82001685;VERDADEIRO;1;;1;255;255;29965;493;56188;14494653;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494653;82001685;Tunelização;Tunelização;Tunelização;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;50;FALSO;;13921;00;82001685  TunelizaçãoDentística
R$;R$;82.001.685;VERDADEIRO;1;;1;255;255;29965;493;84483;22114122;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114122;82001685;Tunelização;Tunelização;Tunelização;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);0;;0;;;50;FALSO;;13921;00;82.001.685TunelizaçãoDentística
R$;R$;83.000.135;VERDADEIRO;1;;1;255;255;29965;503;84483;22114132;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;22114132;83000135;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);0;;0;;;84;FALSO;;13921;00;83.000.135Restauração atraumática em dente decíduoDentística
R$;R$;83000135;VERDADEIRO;1;;1;255;255;29965;503;44869;11662067;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;11662067;83000135;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;;83000135  Restauração atraumática em dente decíduoDentística
R$;R$;83000135;VERDADEIRO;1;;1;255;255;29965;503;55819;14366953;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;14366953;83000135;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;00;83000135  Restauração atraumática em dente decíduoDentística
R$;R$;83000135;VERDADEIRO;1;;1;255;255;29965;503;56188;14494663;1;Reais;Reais;Sim;Dentística;Elemento/face;;Outros;Procedimento;;14494663;83000135;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Restauração atraumática em dente decíduo;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;84;FALSO;;13921;00;83000135  Restauração atraumática em dente decíduoDentística
R$;R$;85100021;VERDADEIRO;1;;1;255;255;29965;522;56188;14494682;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494682;85100021;Clareamento dentário caseiro;Clareamento dentário caseiro;Clareamento dentário caseiro;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;00;85100021  Clareamento dentário caseiroDentística
R$;R$;85100021;VERDADEIRO;1;;1;255;255;29965;522;55819;14366972;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366972;85100021;Clareamento dentário caseiro;Clareamento dentário caseiro;Clareamento dentário caseiro;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;00;85100021  Clareamento dentário caseiroDentística
R$;R$;85100021;VERDADEIRO;1;;1;255;255;29965;522;44869;11662086;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662086;85100021;Clareamento dentário caseiro;Clareamento dentário caseiro;Clareamento dentário caseiro;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;;85100021  Clareamento dentário caseiroDentística
R$;R$;85100030;VERDADEIRO;1;;1;255;255;29965;523;44869;11662087;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;11662087;85100030;Clareamento dentário de consultório;Clareamento dentário de consultório;Clareamento dentário de consultório;Particular;R$ 0,00;R$ 0,00;Ativo;11/12/2023 22:05 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;;85100030  Clareamento dentário de consultórioDentística
R$;R$;85100030;VERDADEIRO;1;;1;255;255;29965;523;55819;14366973;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366973;85100030;Clareamento dentário de consultório;Clareamento dentário de consultório;Clareamento dentário de consultório;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;00;85100030  Clareamento dentário de consultórioDentística
R$;R$;85100030;VERDADEIRO;1;;1;255;255;29965;523;56188;14494683;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494683;85100030;Clareamento dentário de consultório;Clareamento dentário de consultório;Clareamento dentário de consultório;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;3;Grupo (ex: Prótese fixa);;;;;;31;FALSO;;13921;00;85100030  Clareamento dentário de consultórioDentística
R$;R$;85.100.064;VERDADEIRO;1;;1;255;255;29965;526;84483;22114155;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;22114155;85100064;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;OdontoPrev - Rede UNNA;R$ 0,00;R$ 0,00;Ativo;03/03/2026 11:19 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);0;;0;;;39;FALSO;;13921;00;85.100.064Faceta direta em resina fotopolimerizávelDentística
R$;R$;85100064;VERDADEIRO;1;;1;255;255;29965;526;56188;14494686;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14494686;85100064;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Rinomodelação;R$ 0,00;R$ 0,00;Ativo;26/02/2025 20:03 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;39;FALSO;;13921;00;85100064  Faceta direta em resina fotopolimerizávelDentística
R$;R$;85100064;VERDADEIRO;1;;1;255;255;29965;526;55819;14366976;1;Reais;Reais;Sim;Dentística;Elemento/face;;;Procedimento;;14366976;85100064;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;Faceta direta em resina fotopolimerizável;PROCEDIMNETOS ESTÉTICA;R$ 0,00;R$ 0,00;Ativo;20/02/2025 10:23 - Bruna Carvalho Patricio Madeira;;2;Dente (ex: Coroa);;;;;;39;FALSO;;13921;00;85100064  Faceta direta em resina fotopolimerizávelDentística
